,pospair,negpair
35,"*MOT: whereabouts did you see it , Thomas ?	*CHI: right near the wooden table .","*MOT: whereabouts did you see it , Thomas ?	*CHI: we have to drive slow ."
36,*MOT: he's not that near but he's a lot closer than I thought when his Mummy .	*CHI: you know what do you know my dinner lady Mrs Rose ?,"*MOT: he's not that near but he's a lot closer than I thought when his Mummy .	*CHI: there's a parking lot right there , where the cars are ."
37,"*MOT: but that's not a police helicopter , Thomas .	*CHI: how do you know because the one on video were like that ?","*MOT: but that's not a police helicopter , Thomas .	*CHI: is supposed to be , because he's all ready cooked to eat ."
38,*MOT: do I need some equipment ?	*CHI: you just stick it together with glue .,*MOT: do I need some equipment ?	*CHI: no Grandad put the magazine on me .
39,*MOT: it reminds me of when you're in an aeroplane seeing somewhere .	*CHI: can you see the sunflower ?,*MOT: it reminds me of when you're in an aeroplane seeing somewhere .	*CHI: what can I play with ?
40,*MOT: what was that ?	*CHI: like some nice music .,*MOT: what was that ?	*CHI: I sat red chair .
41,*MOT: can't you say it all for me ?	*CHI: pop goes the weasel .,*MOT: can't you say it all for me ?	*CHI: these are like blocks .
42,*MOT: what is it ?	*CHI: it's Seven up !,*MOT: what is it ?	*CHI: unscrew a nipple .
43,*MOT: and who's she going to see in church ?	*CHI: her go way .,*MOT: and who's she going to see in church ?	*CHI: they getting wet .
44,*MOT: what're you trying to do ?	*CHI: I want sing one .,*MOT: what're you trying to do ?	*CHI: I want Anna's toys .
45,*MOT: what did you have for supper ?	*CHI: want a one .,*MOT: what did you have for supper ?	*CHI: back over here .
46,*MOT: where are you going ?	*CHI: I wash my hands .,*MOT: where are you going ?	*CHI: I think dad could .
47,*MOT: who you riding on ?	*CHI: I got Tony pony .,"*MOT: who you riding on ?	*CHI: Mummy , get all ."
48,*MOT: what's that dollie's name ?	*CHI: Chattyz Baby brother .,*MOT: what's that dollie's name ?	*CHI: he's been work .
49,*MOT: what's a bahbah ?	*CHI: I don't know .,*MOT: what's a bahbah ?	*CHI: Postman Builder's belly .
50,*MOT: who kicked you in the leg ?	*CHI: I got boo boo here .,*MOT: who kicked you in the leg ?	*CHI: we were looking strawberrys outside .
51,*MOT: did you do good ?	*CHI: and we played two games .,*MOT: did you do good ?	*CHI: I put on this baby .
52,*MOT: better eat that .	*CHI: can we hear ourselves after ?,*MOT: better eat that .	*CHI: I throwing snowballs at you .
53,*MOT: do you have gym ?	*CHI: I don't know .,*MOT: do you have gym ?	*CHI: oops capital g .
54,*MOT: Beauty and the Beast .	*CHI: oh can I cut one ?,*MOT: Beauty and the Beast .	*CHI: more like cheese and custard .
55,*MOT: did you eat your salad ?	*CHI: don't like it .,*MOT: did you eat your salad ?	*CHI: there's a neenaw .
56,"*MOT: no, what does Peanuts do ?	*CHI: open nut box .","*MOT: no, what does Peanuts do ?	*CHI: bike and boat ."
57,*MOT: and what did you do ?	*CHI: we left school !,*MOT: and what did you do ?	*CHI: where's the tree ?
58,*MOT: why did you say oy ?	*CHI: because there was .,*MOT: why did you say oy ?	*CHI: train line coming .
59,*MOT: if you're doing a b c d .	*CHI: yeah can we do this one time ?,*MOT: if you're doing a b c d .	*CHI: the badger was sitting on the toilet .
60,*MOT: what do you have ?	*CHI: b e d .,*MOT: what do you have ?	*CHI: Tigger a bouncy .
61,*MOT: that would cause a bit of a problem .	*CHI: oh what's happening ?,*MOT: that would cause a bit of a problem .	*CHI: different a book ?
62,*MOT: what else is made of rubber ?	*CHI: oy I don't want to play with .,*MOT: what else is made of rubber ?	*CHI: you got naughty frog in the basket .
63,*MOT: what sort of sandwich would you like ?	*CHI: a cheese one .,*MOT: what sort of sandwich would you like ?	*CHI: here the water .
64,*MOT: alright what are you doing in the stockroom ?	*CHI: just getting some more things from stock .,*MOT: alright what are you doing in the stockroom ?	*CHI: I am building a tower as well .
65,*MOT: it's walking across the common .	*CHI: how did it do ?,*MOT: it's walking across the common .	*CHI: can you do it ?
66,*MOT: you've had enough .	*CHI: have you seen that ?,*MOT: you've had enough .	*CHI: this is my chair .
67,"*MOT: what is it , love ?	*CHI: look what's in .","*MOT: what is it , love ?	*CHI: I want to ."
68,*MOT: what happened to Granddad ?	*CHI: bird poo or something .,*MOT: what happened to Granddad ?	*CHI: up for my sister .
69,*MOT: what is this Chi ?	*CHI: I don't know .,*MOT: what is this Chi ?	*CHI: you pooey Mummy .
70,"*MOT: what's that girl doing ?	*CHI: , chopping wood .",*MOT: what's that girl doing ?	*CHI: and this one .
71,*MOT: it looks like who ?	*CHI: Mary had a little lamb .,*MOT: it looks like who ?	*CHI: moo ha ha ha ha !
72,"*MOT: what is this ?	*CHI: , a big towel .",*MOT: what is this ?	*CHI: big Gordon on it .
73,*MOT: the teddy bear's name ?	*CHI: I don't know .,*MOT: the teddy bear's name ?	*CHI: you know that .
74,"*MOT: and where's he sitting ?	*CHI: on an orange chair, chair .","*MOT: and where's he sitting ?	*CHI: don't be silly , Mummy ."
75,"*MOT: and what's she doing ?	*CHI: , playing baseball .",*MOT: and what's she doing ?	*CHI: make a man .
76,*MOT: what color are his shorts ?	*CHI: blue and yellow .,*MOT: what color are his shorts ?	*CHI: I don't know .
77,*MOT: where did you pick flowers ?	*CHI: to Firstname's house .,*MOT: where did you pick flowers ?	*CHI: I don't know .
78,*MOT: see how it's shining ?	*CHI: yellow arms right here .,*MOT: see how it's shining ?	*CHI: the doors locked again .
79,*MOT: what color is she painting the house ?	*CHI: red and green .,*MOT: what color is she painting the house ?	*CHI: who is this ?
80,"*MOT: and what's this ?	*CHI: , fuh water .",*MOT: and what's this ?	*CHI: yes you do .
81,*MOT: she's catching frogs ?	*CHI: I don't want to go in this room .,*MOT: she's catching frogs ?	*CHI: I'm going to put it in the pan .
82,"*MOT: and who takes it out of the house and puts it outside ?	*CHI: , him, oh .",*MOT: and who takes it out of the house and puts it outside ?	*CHI: pink and blue .
83,*MOT: what do you think that is ?	*CHI: um something high .,*MOT: what do you think that is ?	*CHI: the sun rise .
84,*MOT: you want to surf ?	*CHI: um when I get bigger .,*MOT: you want to surf ?	*CHI: but where is his Daddy ?
85,*MOT: yeah looks like a necklace or some jewels .	*CHI: what is this ?,*MOT: yeah looks like a necklace or some jewels .	*CHI: because her's sick .
86,"*MOT: what is he have on his eye ?	*CHI: um, a mask .",*MOT: what is he have on his eye ?	*CHI: do it again .
87,*MOT: can you be a pirate and go find me some treasure ?	*CHI: when I grow up like him .,*MOT: can you be a pirate and go find me some treasure ?	*CHI: can you get Winnie the Witch ?
88,*MOT: how do you think he lost his leg ?	*CHI: I don't know .,*MOT: how do you think he lost his leg ?	*CHI: and what's that ?
89,*MOT: think it's four ?	*CHI: I mean six .,*MOT: think it's four ?	*CHI: he's awful noisy .
90,*MOT: how do ladybugs talk ?	*CHI: I don't know .,*MOT: how do ladybugs talk ?	*CHI: put it on .
91,*MOT: you want a puppy ?	*CHI: just like one that I wanted .,*MOT: you want a puppy ?	*CHI: so you're not allowed to look ?
92,*MOT: how do you it's just like the one that you wanted ?	*CHI: because I dreamed about it .,*MOT: how do you it's just like the one that you wanted ?	*CHI: they fight with the guy .
93,*MOT: what are some of the colors you see on that ?	*CHI: blue right there .,*MOT: what are some of the colors you see on that ?	*CHI: I'll get down .
94,*MOT: well why did you touch the duck ?	*CHI: because I wanted to .,*MOT: well why did you touch the duck ?	*CHI: draw on your hand .
95,*MOT: what is that ?	*CHI: that's called a snapping turtle .,*MOT: what is that ?	*CHI: but this is my chair .
96,*MOT: are you ready to change the page ?	*CHI: I wish they were real and they could talk like us .,*MOT: are you ready to change the page ?	*CHI: want to stay on Anna's chair while get the toys out .
97,*MOT: see what's next ?	*CHI: and it was really really foggy .,*MOT: see what's next ?	*CHI: does he want to come in ?
98,*MOT: do you nudge anybody with your nose ?	*CHI: mom guess what .,*MOT: do you nudge anybody with your nose ?	*CHI: Mama in there .
99,"*MOT: well why do you turn into a shark when you're sleeping ?	*CHI: because I have this special kind of um medicine inside of me, everytime .",*MOT: well why do you turn into a shark when you're sleeping ?	*CHI: and then the fire brigade came on with the water all over me .
100,*MOT: do you know what that's called ?	*CHI: I'm getting bored of that .,*MOT: do you know what that's called ?	*CHI: I going out three times .
101,*MOT: how do you think she did it ?	*CHI: uh I don't know .,*MOT: how do you think she did it ?	*CHI: you want some juice ?
102,*MOT: isn't that what you and your friend Firstname do ?	*CHI: I just like jump .,"*MOT: isn't that what you and your friend Firstname do ?	*CHI: women, men, dogs, cats ."
103,*MOT: a little bit faster ?	*CHI: only two mo-only one more page .,*MOT: a little bit faster ?	*CHI: I have got those two books .
104,*MOT: who's this guy ?	*CHI: I don't know .,*MOT: who's this guy ?	*CHI: my shopping bag .
105,*MOT: who can be firefighter ?	*CHI: I can't because I'm too little .,*MOT: who can be firefighter ?	*CHI: I go get in the box .
106,*MOT: does Firstname play hopscotch ?	*CHI: I don't think so .,*MOT: does Firstname play hopscotch ?	*CHI: it's on the table ?
107,*MOT: yeah is Firstname old enough ?	*CHI: no she's too little !,*MOT: yeah is Firstname old enough ?	*CHI: one two three four .
108,*MOT: so why do think that only men can do aerobics ?	*CHI: because it shows the picture of man .,*MOT: so why do think that only men can do aerobics ?	*CHI: Mummy get a bump on the head .
109,*MOT: she does aerobics !	*CHI: no no no .,*MOT: she does aerobics !	*CHI: make another hole .
110,*MOT: I don't know .	*CHI: that's the end of the book !,*MOT: I don't know .	*CHI: you want me to tell you ?
111,*MOT: what is sunshine doing ?	*CHI: getting in her Daddy's bed .,*MOT: what is sunshine doing ?	*CHI: want to go see it ?
112,*MOT: oh this is somebody's hat .	*CHI: you know what else ?,*MOT: oh this is somebody's hat .	*CHI: this is Doctor Seuss .
113,*MOT: do you want him to stay up there ?	*CHI: they always wear glasses .,*MOT: do you want him to stay up there ?	*CHI: I want another one .
114,*MOT: where do you want them ?	*CHI: ah I don't know how to get down !,*MOT: where do you want them ?	*CHI: I'm going to hold on to the handles .
115,*MOT: no you tell them .	*CHI: are they hearing me now ?,*MOT: no you tell them .	*CHI: hey give me that builder !
116,*MOT: and what did we sing ?	*CHI: Baa Baa black sheep .,*MOT: and what did we sing ?	*CHI: I shall get cross .
117,*MOT: why were we doing that ?	*CHI: the white shoe .,*MOT: why were we doing that ?	*CHI: sax and dax .
118,*MOT: what has broken ?	*CHI: oh Thomas play it .,*MOT: what has broken ?	*CHI: you push this button .
119,*MOT: where's your icecream ?	*CHI: on my shirt .,*MOT: where's your icecream ?	*CHI: I don't know .
120,*MOT: what song's that ?	*CHI: it's the dark side bright song .,*MOT: what song's that ?	*CHI: enne finish the book right away .
121,*MOT: what about my neck massage ?	*CHI: you have to do mine first .,*MOT: what about my neck massage ?	*CHI: mommy take me in Jenny's chair .
122,*MOT: what should I sing ?	*CHI: under my umbrella .,*MOT: what should I sing ?	*CHI: and my bunny .
123,*MOT: under my umbrella Ella Ella eh eh eh .	*CHI: can you get faster ?,*MOT: under my umbrella Ella Ella eh eh eh .	*CHI: we played with it .
124,*MOT: is that a fence ?	*CHI: mom fix it .,*MOT: is that a fence ?	*CHI: it's a q .
125,*MOT: one of the cups ?	*CHI: I need cup .,*MOT: one of the cups ?	*CHI: I want some .
126,*MOT: you need a fork ?	*CHI: that is good .,*MOT: you need a fork ?	*CHI: yes it is .
127,*MOT: what are you doing ?	*CHI: blowing your bubbles .,*MOT: what are you doing ?	*CHI: on his toe ?
128,*MOT: what do you mean there's no martians left ?	*CHI: because there alled .,*MOT: what do you mean there's no martians left ?	*CHI: there's another one .
129,*MOT: just in time for what ?	*CHI: I don't like stamps .,*MOT: just in time for what ?	*CHI: click it in there ?
130,*MOT: why are you saying ow ?	*CHI: because it hurts .,*MOT: why are you saying ow ?	*CHI: put it down .
131,*MOT: where's your pockets ?	*CHI: I don't know .,*MOT: where's your pockets ?	*CHI: I want to .
132,*MOT: how many legs does the spider have ?	*CHI: one two three four five six seven eight nine ten .,*MOT: how many legs does the spider have ?	*CHI: if you're happy and you know it catch a star .
133,*MOT: what do you think ?	*CHI: and they had a bath .,*MOT: what do you think ?	*CHI: a sheep go boing boing .
134,*MOT: so we have to find them and count them .	*CHI: where's the alligators ?,*MOT: so we have to find them and count them .	*CHI: no I can't .
135,*MOT: that's an alligator .	*CHI: is all those alligators ?,"*MOT: that's an alligator .	*CHI: I, want, to, see ."
136,*MOT: and what else did we do ?	*CHI: go on two hot air balloons .,*MOT: and what else did we do ?	*CHI: hey those are my orange ones .
137,*MOT: because you've got half term .	*CHI: are we off ?,*MOT: because you've got half term .	*CHI: you're late today .
138,*MOT: we're not going now .	*CHI: but I want to go on the train !,*MOT: we're not going now .	*CHI: yeah I think the blue team is winning .
139,*MOT: I can see your sunflower .	*CHI: oh .. where ?,*MOT: I can see your sunflower .	*CHI: lot of passengers .
140,*MOT: what can you see now ?	*CHI: I want to chair for it .,*MOT: what can you see now ?	*CHI: no I want to hold her .
141,"*MOT: what , darling ?	*CHI: did you stick .","*MOT: what , darling ?	*CHI: it is soft ."
142,*MOT: and where do you think it goes ?	*CHI: but it's a .,*MOT: and where do you think it goes ?	*CHI: go to sleep .
143,*MOT: what are you looking for ?	*CHI: but the other .,*MOT: what are you looking for ?	*CHI: pigns does fly .
144,*MOT: oh that was good .	*CHI: want to play with these ?,*MOT: oh that was good .	*CHI: it's gone in the toilet .
145,*MOT: who are you calling ?	*CHI: this is your phone .,*MOT: who are you calling ?	*CHI: no that's your coffee !
146,*MOT: what can I do for you ?	*CHI: come over please .,*MOT: what can I do for you ?	*CHI: I bite her .
147,*MOT: because they asked me to tape .	*CHI: oh the last time we did that ?,*MOT: because they asked me to tape .	*CHI: ah we got peanut butter and jelly .
148,*MOT: no you've had enough stuff today .	*CHI: you said after supper !,*MOT: no you've had enough stuff today .	*CHI: I can't reach it .
149,*MOT: until this November .	*CHI: oh what's after five ?,*MOT: until this November .	*CHI: he's under the shell .
150,*MOT: cut it out !	*CHI: when are we going to have a day off will .,*MOT: cut it out !	*CHI: I get a hole in my hole in my mouth .
151,*MOT: I'll have a day off Saturday .	*CHI: who has to watch us then ?,*MOT: I'll have a day off Saturday .	*CHI: I thought you liked this plate ?
152,"*MOT: oh, what's that, what's that boy doing ?	*CHI: , mine bicycle .","*MOT: oh, what's that, what's that boy doing ?	*CHI: don't want to ."
153,"*MOT: who can be a seamstress ?	*CHI: mommy, I needta do that .",*MOT: who can be a seamstress ?	*CHI: I can sit with you .
154,*MOT: what does he have on his face ?	*CHI: a must haveche .,*MOT: what does he have on his face ?	*CHI: Rin tin tin .
155,"*MOT: well, now you don't know those numbers, that's a five .	*CHI: I sit on the couch ?","*MOT: well, now you don't know those numbers, that's a five .	*CHI: what's that sound of nature ."
156,*MOT: do you remember ?	*CHI: in Nanna and Pappa .,*MOT: do you remember ?	*CHI: is that must haverd ?
157,*MOT: you can be a firefighter .	*CHI: what is that ?,*MOT: you can be a firefighter .	*CHI: but I didn't .
158,"*MOT: yeah, do you remember what this is called ?	*CHI: a fire hydrant .","*MOT: yeah, do you remember what this is called ?	*CHI: it's a bus ."
159,"*MOT: did you watch them pick it up in the garbage truck ?	*CHI: aw, aw, all done !",*MOT: did you watch them pick it up in the garbage truck ?	*CHI: me want to try .
160,*MOT: in Firstname's room ?	*CHI: I don't want to look at the book anymore .,*MOT: in Firstname's room ?	*CHI: and I had a brown one with animals on .
161,*MOT: what do you think ?	*CHI: I got to see .,*MOT: what do you think ?	*CHI: I playing my field .
162,*MOT: do you remember ?	*CHI: cats have ants .,*MOT: do you remember ?	*CHI: Mummy here whale .
163,*MOT: what's wrong with that one ?	*CHI: this has tape on it .,"*MOT: what's wrong with that one ?	*CHI: here you are , baby ."
164,*MOT: what if we did our own house like this ?	*CHI: and then there would be no space to walk .,*MOT: what if we did our own house like this ?	*CHI: you can pretend like you're dropping somebody's luggage down .
165,*MOT: but I think I got the rest now .	*CHI: where where are they ?,*MOT: but I think I got the rest now .	*CHI: I can see it .
166,*MOT: and then there's animals .	*CHI: I forget I forget !,*MOT: and then there's animals .	*CHI: this is the different .
167,*MOT: do you remember that ?	*CHI: I forget whose .,*MOT: do you remember that ?	*CHI: fly in mud .
168,*MOT: what do you think ?	*CHI: take the bus .,*MOT: what do you think ?	*CHI: I don't know .
169,*MOT: why are there chains on that ?	*CHI: does this go down or .,*MOT: why are there chains on that ?	*CHI: one two three four five .
170,*MOT: nine wet pets .	*CHI: what was this ?,*MOT: nine wet pets .	*CHI: with the peaches .
171,*MOT: that's a little strange .	*CHI: what comes next ?,*MOT: that's a little strange .	*CHI: where's my band-aid ?
172,*MOT: is he there ?	*CHI: Mummy do it .,*MOT: is he there ?	*CHI: that little one ?
173,*MOT: what're you doing ?	*CHI: sitting at the table .,*MOT: what're you doing ?	*CHI: can I mix it ?
174,*MOT: what happened to my other pillow ?	*CHI: on the couch .,*MOT: what happened to my other pillow ?	*CHI: where is swing ?
175,*MOT: what's your name ?	*CHI: Thomas Henry the Purdie .,*MOT: what's your name ?	*CHI: fee figh foe fum .
176,*MOT: what has happened ?	*CHI: a my feel better .,*MOT: what has happened ?	*CHI: I can't see her .
177,*MOT: what are you looking for ?	*CHI: want a key .,*MOT: what are you looking for ?	*CHI: then another e .
178,*MOT: you can see a brown egg and a red egg ?	*CHI: on up here .,*MOT: you can see a brown egg and a red egg ?	*CHI: give it me .
179,"*MOT: I've just taken my shoes off , haven't I ?	*CHI: put them on .","*MOT: I've just taken my shoes off , haven't I ?	*CHI: round round round ."
180,*MOT: why are you putting it round your back ?	*CHI: a not spill .,*MOT: why are you putting it round your back ?	*CHI: the monkey out .
181,*MOT: would you like some more chips ?	*CHI: a prawn crisps Daddy .,*MOT: would you like some more chips ?	*CHI: because he want to .
182,*MOT: yeah what do you say ?	*CHI: excuse me chips .,*MOT: yeah what do you say ?	*CHI: in the petrol .
183,*MOT: oh three days to go !	*CHI: it has been dropped down .,*MOT: oh three days to go !	*CHI: going away with my Mommy .
184,*MOT: and can you see all the holly running round the outside ?	*CHI: put a post down .,*MOT: and can you see all the holly running round the outside ?	*CHI: because I'd been naughty .
185,*MOT: why are they going to make him a big bed ?	*CHI: he can sleep in it for supper .,*MOT: why are they going to make him a big bed ?	*CHI: because I can trap them in there .
186,*MOT: would you like some more ?	*CHI: I do it .,*MOT: would you like some more ?	*CHI: where is it ?
187,"*MOT: how many sheep are there ?	*CHI: one, two, three .",*MOT: how many sheep are there ?	*CHI: why haven't you ?
188,*MOT: what should his name be ?	*CHI: she put them in stroller .,*MOT: what should his name be ?	*CHI: I need a one that .
189,"*MOT: I'd rather have my juice in a cup, please .	*CHI: where did cup go ?","*MOT: I'd rather have my juice in a cup, please .	*CHI: you throw a elephant ?"
190,*MOT: those are good .	*CHI: want some apple ?,*MOT: those are good .	*CHI: where this go ?
191,*MOT: where did you find that dolly ?	*CHI: at Rachel's home .,*MOT: where did you find that dolly ?	*CHI: panda coming in .
192,*MOT: so where did you play ?	*CHI: in Rachel's room .,*MOT: so where did you play ?	*CHI: I have to .
193,*MOT: what are you doing ?	*CHI: unscrew a nipple .,*MOT: what are you doing ?	*CHI: a Bow gone .
194,*MOT: unscrewing the nipple ?	*CHI: you screw off it .,"*MOT: unscrewing the nipple ?	*CHI: real , real brown ?"
195,*MOT: that's your super car .	*CHI: you drive it ?,*MOT: that's your super car .	*CHI: here it is .
196,*MOT: what do you want me to do ?	*CHI: a barrels in .,*MOT: what do you want me to do ?	*CHI: the orange light .
197,*MOT: can I see your mirror ?	*CHI: don't look yourself .,*MOT: can I see your mirror ?	*CHI: they rub us .
198,*MOT: what should I do ?	*CHI: see that on yourself .,*MOT: what should I do ?	*CHI: Mummy do it again .
199,*MOT: what do you want me to do ?	*CHI: take it out .,*MOT: what do you want me to do ?	*CHI: wicked I say .
200,*MOT: you want to read it ?	*CHI: a dog go .,*MOT: you want to read it ?	*CHI: I have this .
201,*MOT: and what is he doing here ?	*CHI: in the bathtub .,*MOT: and what is he doing here ?	*CHI: want to eat .
202,*MOT: what's he doing ?	*CHI: blowing a bubble .,*MOT: what's he doing ?	*CHI: get him down .
203,*MOT: did the bubble pop ?	*CHI: don't that's balloon .,"*MOT: did the bubble pop ?	*CHI: oh , h ."
204,*MOT: where is it ?	*CHI: that's a nose .,*MOT: where is it ?	*CHI: and these things .
205,*MOT: did Nina have a birthday cake at her birthday ?	*CHI: I eat it .,*MOT: did Nina have a birthday cake at her birthday ?	*CHI: there's the monkey .
206,*MOT: where shall I keep it ?	*CHI: on your hand .,*MOT: where shall I keep it ?	*CHI: the big other .
207,*MOT: you going to clean the cream off ?	*CHI: I will put some on your nose .,*MOT: you going to clean the cream off ?	*CHI: could I have it with just spaghetti ?
208,*MOT: you're going to put what ?	*CHI: cream on your face .,*MOT: you're going to put what ?	*CHI: watch my bubble knot ?
209,*MOT: you're going to put what ?	*CHI: shaving on your face .,*MOT: you're going to put what ?	*CHI: that must go there .
210,*MOT: where shall I put the shaving cream ?	*CHI: on my face .,*MOT: where shall I put the shaving cream ?	*CHI: I wee weed .
211,*MOT: where's the shaving cream ?	*CHI: you put that on .,*MOT: where's the shaving cream ?	*CHI: does that fit there ?
212,*MOT: what are these ?	*CHI: I want him .,*MOT: what are these ?	*CHI: here to here ?
213,*MOT: where shall I put the mouse ?	*CHI: in that home .,*MOT: where shall I put the mouse ?	*CHI: yes it is .
214,*MOT: can you get him out ?	*CHI: roll over the home .,*MOT: can you get him out ?	*CHI: cock a doodle doo .
215,*MOT: who are you missing ?	*CHI: I want another barrel .,*MOT: who are you missing ?	*CHI: my name is Gail .
216,*MOT: you take them to see the train ?	*CHI: on my bed .,*MOT: you take them to see the train ?	*CHI: it's that thing .
217,*MOT: who are you putting on the wagon ?	*CHI: dolly and Popeye .,*MOT: who are you putting on the wagon ?	*CHI: they don't want .
218,*MOT: you're taking everybody else off ?	*CHI: Popeye go bye .,*MOT: you're taking everybody else off ?	*CHI: I don't know .
219,*MOT: whom are we going to see ?	*CHI: Erin and Gilly .,*MOT: whom are we going to see ?	*CHI: flowers on there ?
220,*MOT: I don't know what happened to it .	*CHI: where is my bottle ?,*MOT: I don't know what happened to it .	*CHI: give me a nickel !
221,*MOT: it's not behind the doll house ?	*CHI: where's my bottle .,*MOT: it's not behind the doll house ?	*CHI: who took it ?
222,*MOT: it's just one eye .	*CHI: eye's on him ?,*MOT: it's just one eye .	*CHI: a little bit .
223,*MOT: oh they're rolling in the snow didn't they ?	*CHI: girl right here .,*MOT: oh they're rolling in the snow didn't they ?	*CHI: with your friends ?
224,*MOT: I don't know .	*CHI: where another book ?,"*MOT: I don't know .	*CHI: Pittsburg , down ."
225,*MOT: now what are you going to do ?	*CHI: I can't get them out .,*MOT: now what are you going to do ?	*CHI: where was the pretty rose ?
226,*MOT: is that everybody ?	*CHI: it's both sheeps .,*MOT: is that everybody ?	*CHI: there's must haverd ?
227,*MOT: just leave it .	*CHI: where are they ?,*MOT: just leave it .	*CHI: I do that .
228,*MOT: what is it ?	*CHI: it's it's it's .,*MOT: what is it ?	*CHI: by the police .
229,*MOT: how many cows ?	*CHI: one two three .,*MOT: how many cows ?	*CHI: car go in .
230,*MOT: and how many sheep ?	*CHI: one two three .,*MOT: and how many sheep ?	*CHI: what's in there ?
231,"*MOT: these are kind of hard to grab, aren't they ?	*CHI: let's go do the animal one .","*MOT: these are kind of hard to grab, aren't they ?	*CHI: he would he wouldn't like that ."
232,*MOT: what's in there ?	*CHI: it's a baby .,*MOT: what's in there ?	*CHI: round and round .
233,*MOT: what's he doing there ?	*CHI: riding on a motorbike .,*MOT: what's he doing there ?	*CHI: sliding down your trousers .
